YEAR,MONTH,DAY,DAY_OF_WEEK,ORG_AIRPORT,DEST_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY
2025,3,1,6,ALB,ATL,606,600,-6,859,843,-16
2025,3,1,6,ALB,ATL,1412,1421,9,1658,1649,-9
2025,3,1,6,ALB,BWI,545,539,-6,715,704,-11
2025,3,1,6,ALB,BWI,1040,1040,0,1200,1153,-7
2025,3,1,6,ALB,BWI,1315,1308,-7,1445,1437,-8
2025,3,1,6,ALB,BWI,1530,1533,3,1650,1655,5
2025,3,1,6,ALB,BWI,1745,1747,2,1910,1901,-9
2025,3,1,6,ALB,CLT,514,517,3,747,735,-12
2025,3,1,6,ALB,CLT,1140,1136,-4,1400,1355,-5
2025,3,1,6,ALB,CLT,1718,1736,18,1945,1952,7
2025,3,1,6,ALB,DCA,1218,1219,1,1359,1420,21
2025,3,1,6,ALB,DCA,1706,1653,-13,1848,1909,21
2025,3,1,6,ALB,DEN,725,725,0,955,931,-24
2025,3,1,6,ALB,DFW,730,728,-2,1105,1023,-42
2025,3,1,6,ALB,DTW,550,543,-7,746,732,-14
2025,3,1,6,ALB,DTW,1708,1659,-9,1905,1838,-27
2025,3,1,6,ALB,EWR,600,553,-7,722,650,-32
2025,3,1,6,ALB,FLL,600,558,-2,932,910,-22
2025,3,1,6,ALB,FLL,1410,1408,-2,1735,1718,-17
2025,3,1,6,ALB,FLL,1728,1714,-14,2050,2024,-26
2025,3,1,6,ALB,LAS,1110,1106,-4,1355,1320,-35
2025,3,1,6,ALB,MCO,615,611,-4,930,921,-9
2025,3,1,6,ALB,MCO,705,655,-10,1022,1014,-8
2025,3,1,6,ALB,MCO,1230,1229,-1,1535,1557,22
2025,3,1,6,ALB,MCO,1625,1642,17,1930,1936,6
2025,3,1,6,ALB,MCO,1905,1939,34,2220,2307,47
2025,3,1,6,ALB,MCO,1925,1918,-7,2235,2210,-25
2025,3,1,6,ALB,MDW,655,844,109,825,943,78
2025,3,1,6,ALB,MIA,523,516,-7,911,849,-22
2025,3,1,6,ALB,ORD,609,620,11,757,746,-11
2025,3,1,6,ALB,ORD,1630,1627,-3,1825,1804,-21
2025,3,1,6,ALB,RSW,1555,1614,19,1915,1935,20
2025,3,1,6,ALB,SRQ,1500,1509,9,1815,1825,10
2025,3,1,6,ALB,TPA,1650,1659,9,2005,1957,-8
2025,3,1,6,ATL,ALB,1100,1105,5,1316,1312,-4
2025,3,1,6,ATL,ALB,2030,2129,59,2240,2336,56
2025,3,1,6,ATL,BUF,1110,1105,-5,1311,1308,-3
2025,3,1,6,ATL,BUF,1113,1106,-7,1317,1304,-13
2025,3,1,6,ATL,BUF,2159,2152,-7,2357,2355,-2
2025,3,1,6,ATL,HPN,945,937,-8,1202,1138,-24
2025,3,1,6,ATL,HPN,1159,1219,20,1412,1427,15
2025,3,1,6,ATL,HPN,1959,2013,14,2213,2215,2
2025,3,1,6,ATL,JFK,618,610,-8,842,820,-22
